document_id,agent,fk_grade,passes,threshold
test-data/copd_01.pdf,agent2_diagnosis,4.0,True,6.0
test-data/heart_failure_01.pdf,agent2_diagnosis,3.9,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/copd_01.pdf,agent2_diagnosis,5.2,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/copd_02.pdf,agent2_diagnosis,5.1,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/copd_01.pdf,agent2_diagnosis,5.5,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/diabetes_01.pdf,agent2_diagnosis,3.3,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/copd_02.pdf,agent2_diagnosis,4.2,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/diabetes_02.pdf,agent2_diagnosis,4.8,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/diabetes_01.pdf,agent2_diagnosis,3.8,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/heart_failure_01.pdf,agent2_diagnosis,4.4,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/diabetes_02.pdf,agent2_diagnosis,5.3,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/heart_failure_02.pdf,agent2_diagnosis,4.4,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/heart_failure_01.pdf,agent2_diagnosis,4.2,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/hip_replacement_01.pdf,agent2_diagnosis,4.2,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/heart_failure_02.pdf,agent2_diagnosis,4.2,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/hip_replacement_02.pdf,agent2_diagnosis,4.0,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/hip_replacement_01.pdf,agent2_diagnosis,4.8,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/surgical_case_01.pdf,agent2_diagnosis,4.3,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/hip_replacement_02.pdf,agent2_diagnosis,4.1,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/surgical_case_02.pdf,agent2_diagnosis,4.4,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/surgical_case_01.pdf,agent2_diagnosis,5.7,True,6.0
/Users/l/Desktop/DischargeIQ/test-data/surgical_case_02.pdf,agent2_diagnosis,4.5,True,6.0
test-data/copd_01.pdf,agent2_diagnosis,3.8,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp2qeo07wo.pdf,agent2_diagnosis,5.6,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmprgcie_qz.pdf,agent2_diagnosis,3.5,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp0lthip2w.pdf,agent2_diagnosis,6.8,False,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpnpvc6w80.pdf,agent2_diagnosis,5.7,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmprrkg61kh.pdf,agent2_diagnosis,5.6,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpn_u62adz.pdf,agent2_diagnosis,5.4,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpmip5agjb.pdf,agent2_diagnosis,3.8,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp02xl_4se.pdf,agent2_diagnosis,5.3,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp4vun948y.pdf,agent2_diagnosis,4.3,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpt7b9ths7.pdf,agent2_diagnosis,6.0,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp253dyjhm.pdf,agent2_diagnosis,4.0,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp0nfxeuuh.pdf,agent2_diagnosis,4.2,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp7_z6ls5_.pdf,agent2_diagnosis,4.2,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp3jyy9so_.pdf,agent2_diagnosis,5.6,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpjl1e4e22.pdf,agent2_diagnosis,3.9,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpjupa3e0z.pdf,agent2_diagnosis,5.3,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpg5fo82cw.pdf,agent2_diagnosis,3.7,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp6fd1398c.pdf,agent2_diagnosis,4.7,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp18tsdw01.pdf,agent2_diagnosis,5.1,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpxw78z1ka.pdf,agent2_diagnosis,4.0,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpn32yds90.pdf,agent2_diagnosis,4.2,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmp13n9yk__.pdf,agent2_diagnosis,4.8,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmpnxrzsfl2.pdf,agent2_diagnosis,4.9,True,6.0
/var/folders/m3/7qfqyrbd52j5_bbq2hpkvd5c0000gn/T/tmphok98au7.pdf,agent2_diagnosis,6.2,False,6.0
